penalty,loss,acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
3073.5052795410156,2.316187486687248,0.0973630831643002,27.3306827545166,False,,,1,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-55-50,1668786950,27.3306827545166,41587,u110286,172.22.196.137,27.3306827545166,0,1,0.004362583160400391
2857.474609375,2.306904668982082,0.10344827586206896,1.7811663150787354,False,,,2,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-55-52,1668786952,29.111849069595337,41587,u110286,172.22.196.137,29.111849069595337,0,2,0.004362583160400391
2779.6625061035156,2.3054123780790254,0.1075050709939148,1.7226788997650146,False,,,3,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-55-54,1668786954,30.83452796936035,41587,u110286,172.22.196.137,30.83452796936035,0,3,0.004362583160400391
2704.532516479492,2.305669091052506,0.07910750507099391,1.7763924598693848,False,,,4,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-55-56,1668786956,32.610920429229736,41587,u110286,172.22.196.137,32.610920429229736,0,4,0.004362583160400391
2744.5123748779297,2.3120361980028132,0.0872210953346856,1.6805057525634766,False,,,5,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-55-57,1668786957,34.29142618179321,41587,u110286,172.22.196.137,34.29142618179321,0,5,0.004362583160400391
2799.7612915039062,2.3103309872184274,0.0872210953346856,1.6826105117797852,False,,,6,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-55-59,1668786959,35.974036693573,41587,u110286,172.22.196.137,35.974036693573,0,6,0.004362583160400391
2867.428176879883,2.314010566920344,0.08316430020283976,1.7898495197296143,False,,,7,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-01,1668786961,37.76388621330261,41587,u110286,172.22.196.137,37.76388621330261,0,7,0.004362583160400391
2822.196792602539,2.312087200718042,0.10953346855983773,1.764944076538086,False,,,8,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-03,1668786963,39.5288302898407,41587,u110286,172.22.196.137,39.5288302898407,0,8,0.004362583160400391
2804.9605712890625,2.3167928812711764,0.08924949290060852,1.78971529006958,False,,,9,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-04,1668786964,41.31854557991028,41587,u110286,172.22.196.137,41.31854557991028,0,9,0.004362583160400391
2819.1878509521484,2.317381609284128,0.0973630831643002,1.756056308746338,False,,,10,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-06,1668786966,43.074601888656616,41587,u110286,172.22.196.137,43.074601888656616,0,10,0.004362583160400391
2900.0709838867188,2.3241620663455245,0.09127789046653144,1.8227324485778809,False,,,11,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-08,1668786968,44.8973343372345,41587,u110286,172.22.196.137,44.8973343372345,0,11,0.004362583160400391
2910.290496826172,2.331252036181715,0.09533468559837728,1.8162379264831543,False,,,12,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-10,1668786970,46.71357226371765,41587,u110286,172.22.196.137,46.71357226371765,0,12,0.004362583160400391
2937.2156677246094,2.3248650664973693,0.09330628803245436,1.7656700611114502,False,,,13,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-12,1668786972,48.4792423248291,41587,u110286,172.22.196.137,48.4792423248291,0,13,0.004362583160400391
2901.8075561523438,2.3297534743380597,0.09330628803245436,1.76753830909729,False,,,14,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-13,1668786973,50.24678063392639,41587,u110286,172.22.196.137,50.24678063392639,0,14,0.004362583160400391
2936.1092834472656,2.3322501603294823,0.0872210953346856,1.8179731369018555,False,,,15,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-15,1668786975,52.06475377082825,41587,u110286,172.22.196.137,52.06475377082825,0,15,0.004362583160400391
2997.3548583984375,2.3379552161234147,0.10141987829614604,1.7866058349609375,False,,,16,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-17,1668786977,53.851359605789185,41587,u110286,172.22.196.137,53.851359605789185,0,16,0.004362583160400391
3011.359130859375,2.339628493326431,0.0872210953346856,1.7979764938354492,False,,,17,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-19,1668786979,55.649336099624634,41587,u110286,172.22.196.137,55.649336099624634,0,17,0.004362583160400391
3071.476547241211,2.3409554092685783,0.09533468559837728,1.7351913452148438,False,,,18,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-20,1668786980,57.38452744483948,41587,u110286,172.22.196.137,57.38452744483948,0,18,0.004362583160400391
3123.112274169922,2.3555044615244527,0.08924949290060852,1.7598929405212402,False,,,19,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-22,1668786982,59.14442038536072,41587,u110286,172.22.196.137,59.14442038536072,0,19,0.004362583160400391
3146.5848388671875,2.343715360633742,0.08519269776876268,1.7941501140594482,False,,,20,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-24,1668786984,60.938570499420166,41587,u110286,172.22.196.137,60.938570499420166,0,20,0.004362583160400391
3104.7801513671875,2.3442612284337287,0.08519269776876268,1.8855605125427246,False,,,21,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-26,1668786986,62.82413101196289,41587,u110286,172.22.196.137,62.82413101196289,0,21,0.004362583160400391
3136.1681518554688,2.3553291382702564,0.09533468559837728,1.784740924835205,False,,,22,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-28,1668786988,64.6088719367981,41587,u110286,172.22.196.137,64.6088719367981,0,22,0.004362583160400391
3144.555877685547,2.357074302785537,0.08924949290060852,1.6966052055358887,False,,,23,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-29,1668786989,66.30547714233398,41587,u110286,172.22.196.137,66.30547714233398,0,23,0.004362583160400391
3186.187957763672,2.3478047929961106,0.09330628803245436,1.7863211631774902,False,,,24,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-31,1668786991,68.09179830551147,41587,u110286,172.22.196.137,68.09179830551147,0,24,0.004362583160400391
3169.4629821777344,2.3541396979627938,0.08316430020283976,1.7948765754699707,False,,,25,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-33,1668786993,69.88667488098145,41587,u110286,172.22.196.137,69.88667488098145,0,25,0.004362583160400391
3229.8512268066406,2.348233732683905,0.09939148073022312,1.7982797622680664,False,,,26,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-35,1668786995,71.68495464324951,41587,u110286,172.22.196.137,71.68495464324951,0,26,0.004362583160400391
3278.709747314453,2.3582054499922127,0.08519269776876268,1.7051162719726562,False,,,27,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-36,1668786996,73.39007091522217,41587,u110286,172.22.196.137,73.39007091522217,0,27,0.004362583160400391
3313.977752685547,2.3560159404669525,0.10344827586206896,1.7225751876831055,False,,,28,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-38,1668786998,75.11264610290527,41587,u110286,172.22.196.137,75.11264610290527,0,28,0.004362583160400391
3247.1084899902344,2.3755465211539435,0.07707910750507099,1.7596650123596191,False,,,29,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-40,1668787000,76.87231111526489,41587,u110286,172.22.196.137,76.87231111526489,0,29,0.004362583160400391
3237.553680419922,2.361402786769441,0.0973630831643002,1.7443530559539795,False,,,30,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-42,1668787002,78.61666417121887,41587,u110286,172.22.196.137,78.61666417121887,0,30,0.004362583160400391
3304.6328125,2.3604492812321105,0.08924949290060852,1.7787420749664307,False,,,31,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-43,1668787003,80.3954062461853,41587,u110286,172.22.196.137,80.3954062461853,0,31,0.004362583160400391
3270.692138671875,2.3750643464179357,0.07505070993914807,1.8079438209533691,False,,,32,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-45,1668787005,82.20335006713867,41587,u110286,172.22.196.137,82.20335006713867,0,32,0.004362583160400391
3268.266143798828,2.3590019532681477,0.08113590263691683,1.722588062286377,False,,,33,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-47,1668787007,83.92593812942505,41587,u110286,172.22.196.137,83.92593812942505,0,33,0.004362583160400391
3288.0179748535156,2.370116986319211,0.08519269776876268,1.7289979457855225,False,,,34,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-49,1668787009,85.65493607521057,41587,u110286,172.22.196.137,85.65493607521057,0,34,0.004362583160400391
3373.4270935058594,2.3676878748268915,0.08316430020283976,1.766336441040039,False,,,35,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-50,1668787010,87.42127251625061,41587,u110286,172.22.196.137,87.42127251625061,0,35,0.004362583160400391
3313.2943115234375,2.3604792924730096,0.08113590263691683,1.8307034969329834,False,,,36,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-52,1668787012,89.2519760131836,41587,u110286,172.22.196.137,89.2519760131836,0,36,0.004362583160400391
3326.5668029785156,2.368315570494708,0.08113590263691683,1.72184419631958,False,,,37,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-54,1668787014,90.97382020950317,41587,u110286,172.22.196.137,90.97382020950317,0,37,0.004362583160400391
3351.8427124023438,2.38160070057573,0.07099391480730223,1.818058729171753,False,,,38,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-56,1668787016,92.79187893867493,41587,u110286,172.22.196.137,92.79187893867493,0,38,0.004362583160400391
3416.2015686035156,2.358528567134246,0.07707910750507099,1.7271308898925781,False,,,39,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-58,1668787018,94.5190098285675,41587,u110286,172.22.196.137,94.5190098285675,0,39,0.004362583160400391
3378.435760498047,2.378771541568377,0.07910750507099391,1.7498924732208252,False,,,40,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-56-59,1668787019,96.26890230178833,41587,u110286,172.22.196.137,96.26890230178833,0,40,0.004362583160400391
3452.4363708496094,2.3844270885111594,0.06693711967545639,1.8589794635772705,False,,,41,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-01,1668787021,98.1278817653656,41587,u110286,172.22.196.137,98.1278817653656,0,41,0.004362583160400391
3410.159698486328,2.374593341084571,0.07099391480730223,1.7646048069000244,False,,,42,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-03,1668787023,99.89248657226562,41587,u110286,172.22.196.137,99.89248657226562,0,42,0.004362583160400391
3385.3439025878906,2.3789091076376954,0.07910750507099391,1.7971832752227783,False,,,43,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-05,1668787025,101.6896698474884,41587,u110286,172.22.196.137,101.6896698474884,0,43,0.004362583160400391
3372.3517150878906,2.369303030126235,0.11156186612576065,1.7138903141021729,False,,,44,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-06,1668787026,103.40356016159058,41587,u110286,172.22.196.137,103.40356016159058,0,44,0.004362583160400391
3440.0384826660156,2.370272256297949,0.0872210953346856,1.7940282821655273,False,,,45,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-08,1668787028,105.1975884437561,41587,u110286,172.22.196.137,105.1975884437561,0,45,0.004362583160400391
3386.0777587890625,2.391909854165439,0.06693711967545639,1.7849540710449219,False,,,46,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-10,1668787030,106.98254251480103,41587,u110286,172.22.196.137,106.98254251480103,0,46,0.004362583160400391
3374.7763671875,2.3887128467250305,0.0872210953346856,1.6631090641021729,False,,,47,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-12,1668787032,108.6456515789032,41587,u110286,172.22.196.137,108.6456515789032,0,47,0.004362583160400391
3455.7542724609375,2.3889982913135275,0.09330628803245436,1.569319486618042,False,,,48,66cc9_00007,ef23c726f58d4e568995e4457ef03ce2,2022-11-18_10-57-13,1668787033,110.21497106552124,41587,u110286,172.22.196.137,110.21497106552124,0,48,0.004362583160400391
