penalty,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
3073.5052795410156,27.83164143562317,False,,,1,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-33,1668743673,27.83164143562317,43464,u110286,172.22.196.137,27.83164143562317,0,1,0.004602193832397461
2857.474609375,1.6329798698425293,False,,,2,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-35,1668743675,29.4646213054657,43464,u110286,172.22.196.137,29.4646213054657,0,2,0.004602193832397461
2779.6625061035156,1.6040806770324707,False,,,3,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-36,1668743676,31.06870198249817,43464,u110286,172.22.196.137,31.06870198249817,0,3,0.004602193832397461
2704.532516479492,1.689056396484375,False,,,4,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-38,1668743678,32.757758378982544,43464,u110286,172.22.196.137,32.757758378982544,0,4,0.004602193832397461
2744.5123748779297,1.6182732582092285,False,,,5,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-40,1668743680,34.37603163719177,43464,u110286,172.22.196.137,34.37603163719177,0,5,0.004602193832397461
2799.7612915039062,1.5610260963439941,False,,,6,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-41,1668743681,35.93705773353577,43464,u110286,172.22.196.137,35.93705773353577,0,6,0.004602193832397461
2867.428176879883,1.7606379985809326,False,,,7,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-43,1668743683,37.6976957321167,43464,u110286,172.22.196.137,37.6976957321167,0,7,0.004602193832397461
2822.196792602539,1.5159521102905273,False,,,8,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-45,1668743685,39.21364784240723,43464,u110286,172.22.196.137,39.21364784240723,0,8,0.004602193832397461
2804.9605712890625,1.6155669689178467,False,,,9,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-46,1668743686,40.82921481132507,43464,u110286,172.22.196.137,40.82921481132507,0,9,0.004602193832397461
2819.1878509521484,1.6306860446929932,False,,,10,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-48,1668743688,42.459900856018066,43464,u110286,172.22.196.137,42.459900856018066,0,10,0.004602193832397461
2900.0709838867188,1.5413331985473633,False,,,11,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-49,1668743689,44.00123405456543,43464,u110286,172.22.196.137,44.00123405456543,0,11,0.004602193832397461
2910.290496826172,1.506148338317871,False,,,12,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-51,1668743691,45.5073823928833,43464,u110286,172.22.196.137,45.5073823928833,0,12,0.004602193832397461
2937.2156677246094,1.6235251426696777,False,,,13,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-53,1668743693,47.13090753555298,43464,u110286,172.22.196.137,47.13090753555298,0,13,0.004602193832397461
2901.8075561523438,1.5908637046813965,False,,,14,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-54,1668743694,48.721771240234375,43464,u110286,172.22.196.137,48.721771240234375,0,14,0.004602193832397461
2936.1092834472656,1.6238493919372559,False,,,15,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-56,1668743696,50.34562063217163,43464,u110286,172.22.196.137,50.34562063217163,0,15,0.004602193832397461
2997.3548583984375,1.565786600112915,False,,,16,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-57,1668743697,51.911407232284546,43464,u110286,172.22.196.137,51.911407232284546,0,16,0.004602193832397461
3011.359130859375,1.6046710014343262,False,,,17,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-54-59,1668743699,53.51607823371887,43464,u110286,172.22.196.137,53.51607823371887,0,17,0.004602193832397461
3071.476547241211,1.6863811016082764,False,,,18,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-55-01,1668743701,55.20245933532715,43464,u110286,172.22.196.137,55.20245933532715,0,18,0.004602193832397461
3123.112274169922,1.525787115097046,False,,,19,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-55-02,1668743702,56.728246450424194,43464,u110286,172.22.196.137,56.728246450424194,0,19,0.004602193832397461
3146.5848388671875,1.6243700981140137,False,,,20,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-55-04,1668743704,58.35261654853821,43464,u110286,172.22.196.137,58.35261654853821,0,20,0.004602193832397461
3104.7801513671875,1.6268999576568604,False,,,21,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-55-05,1668743705,59.97951650619507,43464,u110286,172.22.196.137,59.97951650619507,0,21,0.004602193832397461
3136.1681518554688,1.6396701335906982,False,,,22,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-55-07,1668743707,61.61918663978577,43464,u110286,172.22.196.137,61.61918663978577,0,22,0.004602193832397461
3144.555877685547,1.5301589965820312,False,,,23,a34c6_00003,428ecf71ff54493f94df13c38cb93513,2022-11-17_22-55-09,1668743709,63.1493456363678,43464,u110286,172.22.196.137,63.1493456363678,0,23,0.004602193832397461
