penalty,loss,acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
3073.5052795410156,2.316187486687248,0.0973630831643002,27.99351191520691,False,,,1,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-36,1668744816,27.99351191520691,28397,u110286,172.22.196.137,27.99351191520691,0,1,0.004117727279663086
2857.474609375,2.306904668982082,0.10344827586206896,1.8967630863189697,False,,,2,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-38,1668744818,29.89027500152588,28397,u110286,172.22.196.137,29.89027500152588,0,2,0.004117727279663086
2779.6625061035156,2.3054123780790254,0.1075050709939148,1.809938669204712,False,,,3,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-39,1668744819,31.70021367073059,28397,u110286,172.22.196.137,31.70021367073059,0,3,0.004117727279663086
2704.532516479492,2.305669091052506,0.07910750507099391,1.745478868484497,False,,,4,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-41,1668744821,33.44569253921509,28397,u110286,172.22.196.137,33.44569253921509,0,4,0.004117727279663086
2744.5123748779297,2.3120361980028132,0.0872210953346856,1.7722623348236084,False,,,5,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-43,1668744823,35.217954874038696,28397,u110286,172.22.196.137,35.217954874038696,0,5,0.004117727279663086
2799.7612915039062,2.3103309872184274,0.0872210953346856,1.719470500946045,False,,,6,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-45,1668744825,36.93742537498474,28397,u110286,172.22.196.137,36.93742537498474,0,6,0.004117727279663086
2867.428176879883,2.314010566920344,0.08316430020283976,1.7859399318695068,False,,,7,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-46,1668744826,38.72336530685425,28397,u110286,172.22.196.137,38.72336530685425,0,7,0.004117727279663086
2822.196792602539,2.312087200718042,0.10953346855983773,1.7297546863555908,False,,,8,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-48,1668744828,40.45311999320984,28397,u110286,172.22.196.137,40.45311999320984,0,8,0.004117727279663086
2804.9605712890625,2.3167928812711764,0.08924949290060852,1.6378607749938965,False,,,9,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-50,1668744830,42.090980768203735,28397,u110286,172.22.196.137,42.090980768203735,0,9,0.004117727279663086
2819.1878509521484,2.317381609284128,0.0973630831643002,1.6881191730499268,False,,,10,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-52,1668744832,43.77909994125366,28397,u110286,172.22.196.137,43.77909994125366,0,10,0.004117727279663086
2900.0709838867188,2.3241620663455245,0.09127789046653144,1.7093846797943115,False,,,11,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-53,1668744833,45.488484621047974,28397,u110286,172.22.196.137,45.488484621047974,0,11,0.004117727279663086
2910.290496826172,2.331252036181715,0.09533468559837728,1.729130744934082,False,,,12,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-55,1668744835,47.217615365982056,28397,u110286,172.22.196.137,47.217615365982056,0,12,0.004117727279663086
2937.2156677246094,2.3248650664973693,0.09330628803245436,1.6625239849090576,False,,,13,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-57,1668744837,48.88013935089111,28397,u110286,172.22.196.137,48.88013935089111,0,13,0.004117727279663086
2901.8075561523438,2.3297534743380597,0.09330628803245436,1.713571548461914,False,,,14,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-13-58,1668744838,50.59371089935303,28397,u110286,172.22.196.137,50.59371089935303,0,14,0.004117727279663086
2936.1092834472656,2.3322501603294823,0.0872210953346856,1.8371667861938477,False,,,15,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-00,1668744840,52.430877685546875,28397,u110286,172.22.196.137,52.430877685546875,0,15,0.004117727279663086
2997.3548583984375,2.3379552161234147,0.10141987829614604,1.7546067237854004,False,,,16,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-02,1668744842,54.185484409332275,28397,u110286,172.22.196.137,54.185484409332275,0,16,0.004117727279663086
3011.359130859375,2.339628493326431,0.0872210953346856,1.6822288036346436,False,,,17,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-04,1668744844,55.86771321296692,28397,u110286,172.22.196.137,55.86771321296692,0,17,0.004117727279663086
3071.476547241211,2.3409554092685783,0.09533468559837728,1.7460644245147705,False,,,18,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-05,1668744845,57.61377763748169,28397,u110286,172.22.196.137,57.61377763748169,0,18,0.004117727279663086
3123.112274169922,2.3555044615244527,0.08924949290060852,1.831024408340454,False,,,19,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-07,1668744847,59.444802045822144,28397,u110286,172.22.196.137,59.444802045822144,0,19,0.004117727279663086
3146.5848388671875,2.343715360633742,0.08519269776876268,1.773481845855713,False,,,20,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-09,1668744849,61.218283891677856,28397,u110286,172.22.196.137,61.218283891677856,0,20,0.004117727279663086
3104.7801513671875,2.3442612284337287,0.08519269776876268,1.7234296798706055,False,,,21,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-11,1668744851,62.94171357154846,28397,u110286,172.22.196.137,62.94171357154846,0,21,0.004117727279663086
3136.1681518554688,2.3553291382702564,0.09533468559837728,1.7467520236968994,False,,,22,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-12,1668744852,64.68846559524536,28397,u110286,172.22.196.137,64.68846559524536,0,22,0.004117727279663086
3144.555877685547,2.357074302785537,0.08924949290060852,1.705151081085205,False,,,23,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-14,1668744854,66.39361667633057,28397,u110286,172.22.196.137,66.39361667633057,0,23,0.004117727279663086
3186.187957763672,2.3478047929961106,0.09330628803245436,1.7059478759765625,False,,,24,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-16,1668744856,68.09956455230713,28397,u110286,172.22.196.137,68.09956455230713,0,24,0.004117727279663086
3169.4629821777344,2.3541396979627938,0.08316430020283976,1.7656562328338623,False,,,25,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-18,1668744858,69.86522078514099,28397,u110286,172.22.196.137,69.86522078514099,0,25,0.004117727279663086
3229.8512268066406,2.348233732683905,0.09939148073022312,1.7310655117034912,False,,,26,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-19,1668744859,71.59628629684448,28397,u110286,172.22.196.137,71.59628629684448,0,26,0.004117727279663086
3278.709747314453,2.3582054499922127,0.08519269776876268,1.8241262435913086,False,,,27,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-21,1668744861,73.42041254043579,28397,u110286,172.22.196.137,73.42041254043579,0,27,0.004117727279663086
3313.977752685547,2.3560159404669525,0.10344827586206896,1.7665870189666748,False,,,28,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-23,1668744863,75.18699955940247,28397,u110286,172.22.196.137,75.18699955940247,0,28,0.004117727279663086
3247.1084899902344,2.3755465211539435,0.07707910750507099,1.7130725383758545,False,,,29,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-25,1668744865,76.90007209777832,28397,u110286,172.22.196.137,76.90007209777832,0,29,0.004117727279663086
3237.553680419922,2.361402786769441,0.0973630831643002,1.8413822650909424,False,,,30,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-26,1668744866,78.74145436286926,28397,u110286,172.22.196.137,78.74145436286926,0,30,0.004117727279663086
3304.6328125,2.3604492812321105,0.08924949290060852,1.7364897727966309,False,,,31,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-28,1668744868,80.4779441356659,28397,u110286,172.22.196.137,80.4779441356659,0,31,0.004117727279663086
3270.692138671875,2.3750643464179357,0.07505070993914807,1.6391727924346924,False,,,32,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-30,1668744870,82.11711692810059,28397,u110286,172.22.196.137,82.11711692810059,0,32,0.004117727279663086
3268.266143798828,2.3590019532681477,0.08113590263691683,1.7361927032470703,False,,,33,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-32,1668744872,83.85330963134766,28397,u110286,172.22.196.137,83.85330963134766,0,33,0.004117727279663086
3288.0179748535156,2.370116986319211,0.08519269776876268,1.723128318786621,False,,,34,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-33,1668744873,85.57643795013428,28397,u110286,172.22.196.137,85.57643795013428,0,34,0.004117727279663086
3373.4270935058594,2.3676878748268915,0.08316430020283976,1.8094732761383057,False,,,35,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-35,1668744875,87.38591122627258,28397,u110286,172.22.196.137,87.38591122627258,0,35,0.004117727279663086
3313.2943115234375,2.3604792924730096,0.08113590263691683,1.7650156021118164,False,,,36,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-37,1668744877,89.1509268283844,28397,u110286,172.22.196.137,89.1509268283844,0,36,0.004117727279663086
3326.5668029785156,2.368315570494708,0.08113590263691683,1.7925913333892822,False,,,37,4c32a_00005,07f67f4e5cb94e7e89bba8abc677f7c7,2022-11-17_23-14-39,1668744879,90.94351816177368,28397,u110286,172.22.196.137,90.94351816177368,0,37,0.004117727279663086
