penalty,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
10000,27.281492710113525,False,,,1,60022_00007,70652f831a804b44a2a6a47389cc48d1,2022-11-17_22-52-40,1668743560,27.281492710113525,39205,u110286,172.22.196.137,27.281492710113525,0,1,0.004043102264404297
10000,0.4187319278717041,False,,,2,60022_00007,70652f831a804b44a2a6a47389cc48d1,2022-11-17_22-52-40,1668743560,27.70022463798523,39205,u110286,172.22.196.137,27.70022463798523,0,2,0.004043102264404297
10000,0.39928579330444336,False,,,3,60022_00007,70652f831a804b44a2a6a47389cc48d1,2022-11-17_22-52-41,1668743561,28.099510431289673,39205,u110286,172.22.196.137,28.099510431289673,0,3,0.004043102264404297
10000,0.3865835666656494,True,,,4,60022_00007,70652f831a804b44a2a6a47389cc48d1,2022-11-17_22-52-41,1668743561,28.486093997955322,39205,u110286,172.22.196.137,28.486093997955322,0,4,0.004043102264404297
